,location_x,location_y,time,statsbomb_xg,outcome,player,team,bodypart,technique,first_touch,state_of_play,assist,assist2,assist3,assist_state_of_play,inside_18_width,inside_18_depth,inside_18,shot_distance,shot_angle,bodypart_angle,significant_time
1817,96.7,28.9,2023-06-24 00:46:00.055,0.028994173,Off T,Álvaro Vázquez García,Kerala Blasters,Right Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,False,False,25.808913189051566,64.53,Left - Inside Foot,Stoppage Time
1818,96.9,57.9,2023-06-24 00:47:13.058,0.010973670500000001,Blocked,Rochharzela Rochharzela,NorthEast United,Right Foot,Half Volley,True,Open Play,High Pass,,,From Free Kick,True,False,False,29.223620583356876,127.77,Right - Outside Foot,Stoppage Time
1819,90.7,25.8,2023-06-24 00:48:37.297,0.012936137,Off T,Jessel Carneiro,Kerala Blasters,Left Foot,Normal,True,Open Play,,,,From Free Kick,True,False,False,32.55963759012068,64.14,Left - Outside Foot,Stoppage Time
1820,102.9,36.2,2023-06-24 00:01:37.493,0.06388248,Blocked,Cássio Gabriel Vilela Ferreira,Mumbai City,Right Foot,Normal,True,Open Play,Ground Pass,,,From Free Kick,True,True,True,17.51713446885648,77.47,Left - Inside Foot,Stoppage Time
1821,107.8,32.5,2023-06-24 00:04:04.641,0.039402038,Saved Off Target,Igor Angulo Albóniga,Mumbai City,Head,Normal,False,Open Play,High Pass,,,From Free Kick,True,True,True,14.320963654726594,58.42,Left - Head,Stoppage Time
1822,84.0,29.7,2023-06-24 00:06:43.171,0.0064512070000000005,Off T,Álvaro Vázquez García,Kerala Blasters,Right Foot,Normal,False,Free Kick,,,,From Free Kick,True,False,False,37.44449225186529,74.03,Left - Inside Foot,Stoppage Time
1823,73.3,48.7,2023-06-24 00:10:05.465,0.006956512000000001,Saved to Post,Álvaro Vázquez García,Kerala Blasters,Right Foot,Lob,False,Open Play,,,,From Free Kick,True,False,False,47.50347355720422,100.55,Right - Outside Foot,Stoppage Time
1824,103.2,50.6,2023-06-24 00:15:47.013,0.03290639,Blocked,Bipin Singh Thounajam,Mumbai City,Right Foot,Half Volley,True,Open Play,,,,From Free Kick,True,True,True,19.86454127333425,122.25,Right - Outside Foot,Stoppage Time
1825,107.4,46.0,2023-06-24 00:26:39.594,0.08806101,Goal,Sahal Abdul Samad,Kerala Blasters,Right Foot,Half Volley,True,Open Play,Low Pass,,,From Free Kick,True,True,True,13.955644019535603,115.46,Right - Outside Foot,Stoppage Time
1826,86.7,38.2,2023-06-24 00:30:36.784,0.024557868,Blocked,Jeakson Singh Thaunaojam,Kerala Blasters,Right Foot,Normal,False,Open Play,Ground Pass,,,From Free Kick,True,False,False,33.34861316456803,86.91,Left - Inside Foot,Stoppage Time
1827,99.6,34.7,2023-06-24 00:38:00.975,0.05129397300000001,Off T,Lalengmawia Ralte,Mumbai City,Left Foot,Half Volley,False,Open Play,,,,From Free Kick,True,False,False,21.077238908357998,75.44,Left - Outside Foot,Stoppage Time
1828,96.4,43.3,2023-06-24 00:43:27.010,0.027264548000000003,Off T,Sahal Abdul Samad,Kerala Blasters,Right Foot,Half Volley,True,Open Play,,,,From Free Kick,True,False,False,23.829603437741042,97.96,Right - Outside Foot,Stoppage Time
1829,103.0,42.5,2023-06-24 00:01:13.086,0.08625331,Goal,Álvaro Vázquez García,Kerala Blasters,Right Foot,Volley,True,Open Play,High Pass,,,From Free Kick,True,True,True,17.18284027743958,98.37,Right - Outside Foot,Stoppage Time
