,statsbomb_xg,goal,time,player,team,shot_distance,inside_18,shot_angle,bodypart,technique,first_touch,assist,state_of_play
85,0.036503147,False,18,Pritam Kotal,ATK Mohun Bagan,11.872657663724667,True,32.62,Head,Ground,False,Unassisted,Set Piece - Free Kick
86,0.05943999,False,21,Hugo Adnan Boumous,ATK Mohun Bagan,19.024457942343588,True,46.06,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
87,0.02091567,False,21,Carl Gerard McHugh,ATK Mohun Bagan,31.605695689226657,False,83.46,Left Foot,Ground,True,Unassisted,Set Piece - Free Kick
88,0.022091275,False,24,Mohammad Yasir,Hyderabad,32.720024449868625,False,106.33,Left Foot,Ground,False,Unassisted,Set Piece - Free Kick
89,0.016799387000000002,False,24,Kiyan Nassiri Giri,ATK Mohun Bagan,26.163333120992053,False,134.69,Left Foot,Ground,False,Unassisted,Set Piece - Free Kick
90,0.03970441,False,25,Halicharan Narzary,Hyderabad,24.117421089328765,False,80.69,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
91,0.016141335,False,27,Roy Krishna,ATK Mohun Bagan,14.653668482670136,True,159.22,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
92,0.12359015,False,27,Joni Ensio Kauko,ATK Mohun Bagan,10.679419459877016,True,96.99,Right Foot,Ground,True,Unassisted,Set Piece - Free Kick
93,0.037036426000000004,False,28,Kiyan Nassiri Giri,ATK Mohun Bagan,25.03916931529479,False,93.21,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
94,0.34547636,True,33,Roy Krishna,ATK Mohun Bagan,6.624198064671676,True,118.89,Right Foot,Volley,True,Unassisted,Set Piece - Free Kick
95,0.027136607,False,37,Prabir Das,ATK Mohun Bagan,25.53624874565566,False,116.26,Right Foot,Volley,True,Unassisted,Set Piece - Free Kick
96,0.01177569,False,37,Subhasish Bose,ATK Mohun Bagan,29.693265229677927,False,112.16,Left Foot,Ground,False,Unassisted,Set Piece - Free Kick
97,0.02951979,False,40,Liston Colaco,ATK Mohun Bagan,18.249657531033286,True,33.6,Left Foot,Ground,False,Unassisted,Set Piece - Free Kick
98,0.044764433000000006,False,41,Sahil Tavora,Hyderabad,18.58090417606205,True,119.32,Right Foot,Volley,True,Unassisted,Set Piece - Free Kick
99,0.10458498000000001,False,45,Joni Ensio Kauko,ATK Mohun Bagan,9.013878188659975,True,130.05,Right Foot,Ground,False,Unassisted,Set Piece - Free Kick
100,0.0042379773,False,0,David Joel Williams,ATK Mohun Bagan,59.70678353420154,False,90.86,Right Foot,Ground,True,Unassisted,Set Piece - Free Kick
